==============================================================================
==============================================================================
Wed. Feb. 10 2016                  LANDSAT 5                       Time: 04:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602090003_12564                          Path / Row - 34 / 32
Reference Image: L51AAA1186203060500_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 83.2%
Rank   2 -- 16.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0340320995   40.96182   -106.52606     0.06     -0.39     0.39     1 
0340321000   40.96412   -106.34073    -0.12      0.05     0.13     1 
0340321001   40.96455   -106.30366     0.10     -0.02     0.10     1 
0340321002   40.96496   -106.26659     0.16     -0.09     0.19     1 
0340321003   40.96536   -106.22952     0.58     -0.27     0.64     2 
0340321007   40.96685   -106.08124     0.41      0.22     0.46     1 
0340321018   40.96995   -105.67340     0.01      0.36     0.37     1 
0340321019   40.97017   -105.63632     0.02      0.13     0.13     1 
0340321020   40.97036   -105.59924    -0.06      0.13     0.14     1 
0340321021   40.97055   -105.56216     0.02      0.17     0.17     1 
0340321022   40.97073   -105.52508    -0.02     -0.04     0.04     1 
0340321023   40.97089   -105.48800     0.01      0.26     0.26     1 
0340321024   40.97104   -105.45092     0.06      0.12     0.14     1 
0340321025   40.97118   -105.41384     0.05     -0.44     0.44     1 
0340321026   40.97131   -105.37676    -0.06     -0.43     0.44     1 
0340321027   40.97142   -105.33968    -0.24     -0.33     0.41     1 
0340321029   40.97161   -105.26552     0.07     -0.26     0.26     1 
0340321030   40.97169   -105.22844     0.09     -0.25     0.27     1 
0340321031   40.97176   -105.19135     0.09     -0.18     0.20     1 
0340321032   40.97182   -105.15427     0.29     -0.19     0.35     1 
0340321038   40.97190   -104.93178     0.11     -0.17     0.20     1 
0340321039   40.97187   -104.89470     0.11     -0.16     0.20     1 
0340321044   40.97155   -104.70929    -0.13     -0.04     0.14     1 
0340321076   40.93969   -106.30317     0.41     -0.20     0.46     1 
0340321077   40.94011   -106.26612    -0.20     -0.01     0.20     1 
0340321078   40.94051   -106.22906     0.49     -0.21     0.54     2 
0340321079   40.94090   -106.19200     0.36     -0.08     0.37     1 
0340321082   40.94199   -106.08083     0.24      0.42     0.49     1 
0340321092   40.94487   -105.71021    -0.21      0.24     0.31     1 
0340321093   40.94509   -105.67315     0.14      0.09     0.17     1 
0340321096   40.94569   -105.56195     0.05      0.15     0.16     1 
0340321097   40.94586   -105.52489     0.07      0.00     0.07     1 
0340321098   40.94603   -105.48782     0.15     -0.07     0.17     1 
0340321099   40.94618   -105.45075    -0.05      0.13     0.14     1 
0340321100   40.94632   -105.41369     0.11     -0.29     0.31     1 
0340321101   40.94644   -105.37662     0.02     -0.37     0.37     1 
0340321104   40.94675   -105.26542    -0.05      0.14     0.15     1 
0340321105   40.94683   -105.22835     0.07     -0.23     0.24     1 
0340321106   40.94690   -105.19128     0.13     -0.26     0.29     1 
0340321109   40.94703   -105.08008     0.16     -0.19     0.25     1 
0340321113   40.94704   -104.93180     0.08     -0.20     0.22     1 
0340321114   40.94701   -104.89473     0.09     -0.15     0.17     1 
0340321119   40.94669   -104.70940    -0.15      0.02     0.15     1 
0340321148   40.91353   -106.41380    -0.01     -0.21     0.21     1 
0340321154   40.91604   -106.19156     0.18     -0.12     0.21     1 
0340321157   40.91713   -106.08043     0.31      0.45     0.54     2 
0340321158   40.91747   -106.04338     0.36      0.28     0.46     1 
0340321167   40.92001   -105.70995    -0.07      0.39     0.40     1 
0340321168   40.92023   -105.67290     0.12      0.47     0.48     1 
0340321171   40.92083   -105.56174     0.12     -0.01     0.12     1 
0340321172   40.92100   -105.52469     0.08      0.09     0.12     1 
0340321173   40.92116   -105.48764     0.10     -0.05     0.11     1 
0340321174   40.92131   -105.45059    -0.17      0.14     0.22     1 
0340321175   40.92145   -105.41353    -0.09     -0.10     0.13     1 
0340321176   40.92158   -105.37648    -0.23     -0.28     0.36     1 
0340321180   40.92197   -105.22826     0.08     -0.03     0.09     1 
0340321181   40.92204   -105.19121     0.18     -0.21     0.28     1 
0340321182   40.92209   -105.15416     0.07     -0.12     0.14     1 
0340321183   40.92213   -105.11710     0.21     -0.18     0.28     1 
0340321190   40.92211   -104.85772     0.26      0.09     0.27     1 
0340321191   40.92206   -104.82067     0.36      0.17     0.40     1 
0340321192   40.92199   -104.78361     0.25      0.10     0.27     1 
0340321193   40.92192   -104.74656     0.13     -0.02     0.13     1 
0340321194   40.92183   -104.70950    -0.08      0.04     0.09     1 
0340321196   40.92162   -104.63540    -0.21     -0.29     0.36     1 
0340321229   40.89118   -106.19111     0.40     -0.35     0.53     2 
0340321232   40.89227   -106.08002     0.34      0.47     0.58     2 
0340321233   40.89261   -106.04299     0.39      0.30     0.50     1 
0340321241   40.89491   -105.74672     0.30      0.42     0.52     2 
0340321244   40.89558   -105.63561     0.06      0.29     0.29     1 
0340321245   40.89578   -105.59857     0.12      0.24     0.27     1 
0340321246   40.89596   -105.56153     0.09      0.01     0.09     1 
0340321247   40.89614   -105.52449    -0.04      0.09     0.10     1 
0340321248   40.89630   -105.48745     0.15      0.07     0.17     1 
0340321249   40.89645   -105.45042    -0.03      0.05     0.06     1 
0340321250   40.89659   -105.41338    -0.05     -0.05     0.07     1 
0340321255   40.89711   -105.22818     0.01     -0.16     0.16     1 
0340321256   40.89717   -105.19114     0.00     -0.19     0.19     1 
0340321258   40.89727   -105.11706     0.11     -0.17     0.20     1 
0340321259   40.89730   -105.08002     0.12     -0.14     0.19     1 
0340321267   40.89713   -104.78369     0.34     -0.01     0.34     1 
0340321268   40.89705   -104.74665     0.20     -0.03     0.20     1 
0340321269   40.89697   -104.70961     0.08      0.21     0.23     1 
0340321270   40.89687   -104.67257     0.14      0.24     0.28     1 
0340321271   40.89676   -104.63553    -0.02      0.06     0.06     1 
0340321289   40.85925   -106.74580     0.58      0.22     0.62     2 
0340321295   40.86240   -106.52377    -0.48     -0.12     0.50     1 
0340321304   40.86632   -106.19067    -0.23      0.39     0.45     1 
0340321305   40.86670   -106.15365     0.46     -0.03     0.46     1 
0340321310   40.86840   -105.96856     0.38      0.31     0.49     1 
0340321320   40.87092   -105.59835    -0.10      0.60     0.61     2 
0340321321   40.87110   -105.56132    -0.01      0.50     0.50     1 
0340321322   40.87128   -105.52430    -0.05      0.30     0.31     1 
0340321323   40.87144   -105.48727     0.06      0.28     0.29     1 
0340321324   40.87159   -105.45025     0.10      0.08     0.13     1 
0340321325   40.87173   -105.41322     0.33     -0.32     0.46     1 
