Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320134_02   39.495429 -105.698377  2759.763       0.000     0.000   -24.848   -28.145
0340320135_02   40.492209 -105.008378  1470.000       0.000     0.000    -6.936   -14.067
0340320145_02   40.041201 -105.203497  1558.551       0.000     0.000    23.070    19.406
0340320150_02   40.837518 -105.840369  3110.085       0.000     0.000     1.447    10.043
0340320153_02   40.221179 -105.601759  3133.524       0.000     0.000    36.839   -13.253
0340320154_02   40.404081 -105.068117  1509.897       0.000     0.000    -1.508     9.270
0340320156_02   40.614423 -105.858492  2781.967       0.000     0.000    14.766    18.727
0340320160_02   39.783838 -105.784316  3156.975       0.000     0.000     3.446     6.571
0340320161_02   39.719676 -105.716385  3273.034       0.000     0.000   -30.968    11.931
0340320162_02   40.506263 -104.984656  1458.000       0.000     0.000    14.827   -17.607
0340320165_02   40.003078 -105.210062  1599.232       0.000     0.000    30.627     4.298
0340320169_02   39.900198 -105.764585  2862.585       0.000     0.000   -10.323    -4.988
0340320171_02   39.785947 -105.501251  2590.655       0.000     0.000    -7.077    18.468
0340320174_02   39.746879 -105.955124  3594.747       0.000     0.000    43.438   -32.774
0340320176_02   40.215236 -105.416612  2097.984       0.000     0.000    -3.836    -5.262
0340320181_02   39.793559 -105.931942  3479.009       0.000     0.000    44.914   -32.783
0340320182_02   39.788233 -105.534202  2886.607       0.000     0.000    -5.973     3.963
0340320185_02   40.662054 -105.471905  2208.035       0.000     0.000    21.999   -18.763
0340320188_02   40.320796 -105.513659  2518.684       0.000     0.000   -24.592    11.024
0340320190_02   40.167437 -105.197179  1555.691       0.000     0.000    22.823     6.968
0340320195_02   40.207371 -105.492356  2484.688       0.000     0.000   -19.778     8.792
0340320199_02   40.585991 -104.977548  1512.131       0.000     0.000   -13.188    -3.296
0340320207_02   40.747834 -105.103292  1604.707       0.000     0.000    -4.596   -13.405
0340320208_02   40.858124 -104.640017  1639.272       0.000     0.000     4.671    -4.623
0340320215_02   40.461848 -105.841685  2978.096       0.000     0.000    12.454    21.386
0340320216_02   40.648691 -104.971850  1553.000       0.000     0.000   -12.447    -6.855
