==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360320917   40.79444   -105.73706     0.38      0.05     0.39     1 
0360320920   40.79514   -105.61758     0.78     -0.15     0.80     2 
0360320921   40.79535   -105.57775     0.50      0.44     0.66     2 
0360320924   40.79589   -105.45827     0.76      0.10     0.76     2 
0360320931   40.79666   -105.17947    -0.15     -0.04     0.16     1 
0360320942   40.79651   -104.74135    -0.14      0.19     0.23     1 
0360320957   40.79362   -104.14395    -0.25     -0.18     0.30     1 
0360320958   40.79332   -104.10412    -0.43     -0.26     0.50     1 
0360320959   40.79300   -104.06430    -0.09     -0.18     0.21     1 
0360320960   40.79267   -104.02448    -0.27     -0.27     0.38     1 
0360320961   40.79233   -103.98466    -0.32      0.07     0.33     1 
0360320962   40.79197   -103.94484    -0.35     -0.08     0.36     1 
0360320963   40.79160   -103.90502    -0.72     -0.30     0.78     2 
0360320987   40.76652   -105.93580     0.71      0.26     0.75     2 
0360320988   40.76683   -105.89600     0.10     -0.34     0.36     1 
0360320989   40.76714   -105.85619     0.15     -0.13     0.20     1 
0360320990   40.76742   -105.81638     0.36     -0.19     0.41     1 
0360320991   40.76770   -105.77657     0.09     -0.20     0.22     1 
0360320992   40.76796   -105.73676     0.63     -0.00     0.63     2 
0360320993   40.76821   -105.69695     0.14      0.33     0.36     1 
0360320995   40.76866   -105.61733     0.80      0.10     0.80     2 
0360320999   40.76940   -105.45809     0.14      0.13     0.19     1 
0360321001   40.76969   -105.37846     0.39     -0.10     0.40     1 
0360321003   40.76993   -105.29884     0.51      0.60     0.78     2 
0360321004   40.77002   -105.25903     0.56      0.51     0.76     2 
0360321005   40.77010   -105.21921     0.38      0.28     0.48     1 
0360321006   40.77017   -105.17940     0.34     -0.07     0.35     1 
0360321031   40.76743   -104.18409    -0.02     -0.11     0.11     1 
0360321032   40.76714   -104.14428    -0.30     -0.32     0.43     1 
0360321033   40.76684   -104.10448    -0.38     -0.34     0.51     2 
0360321034   40.76652   -104.06467     0.05     -0.14     0.15     1 
0360321035   40.76619   -104.02487    -0.14      0.02     0.14     1 
0360321036   40.76585   -103.98506    -0.09      0.01     0.09     1 
