Sat. Apr.  5, 2014             LANDSAT 4                 Time: 17:00
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10781446            Path/Row: 033 / 032

L0R Reference Image: L41XXX1184198170100_HDF.140952139
Acquisition Date: Jul 16, 1984

Band Number:  4

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
032   032   2000-05-02
032   033   2000-05-02
033   031   2000-06-10
033   032   2002-09-20
033   033   2000-09-14
034   031   1999-10-05
034   032   2001-09-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320199   40.585991 -104.977548  1511.660       0.000     0.000   -23.468   -24.513
0340320205   40.022175 -104.942577  1550.961       0.000     0.000     7.253   -37.832
0340320216   40.648691 -104.971850  1553.662       0.000     0.000   -17.410   -34.761
0340320238   40.346385 -105.532928  2442.430       0.000     0.000   -20.506   -92.808
0340320246   40.339971 -105.130924  1550.287       0.000     0.000     7.970   -24.242
0340320256   39.741065 -105.053454  1619.655       0.000     0.000   -10.183     2.113
0340320257   39.944157 -105.208125  1726.249       0.000     0.000   -30.827    -7.713
0340320258   39.770798 -105.055579  1637.043       0.000     0.000    -9.456     3.750
0340320260   39.838356 -105.085086  1650.686       0.000     0.000   -17.093    -6.272
0340320261   40.192876 -105.177164  1546.586       0.000     0.000    21.582   -18.465
0340320264   39.822323 -105.583542  2946.591       0.000     0.000   -35.329   -20.255
0340320275   40.616255 -105.042796  1524.877       0.000     0.000    -4.152   -10.708
0340320277   40.163808 -105.054489  1500.667       0.000     0.000   -14.310   -23.695
0340320281   39.900411 -105.398906  2703.883       0.000     0.000     0.518    17.658
0340320290   40.816722 -104.869329  1663.573       0.000     0.000   -37.374   -20.871
0340320297   40.350290 -105.077247  1546.539       0.000     0.000   -28.587   -52.481
0340320298   40.524372 -104.995278  1464.000       0.000     0.000   -25.240   -31.445
0340320333   40.449230 -105.038444  1498.000       0.000     0.000    27.889   -13.130
0340320336   40.666436 -105.148597  1582.733       0.000     0.000    -5.224     0.339
0340320340   40.443262 -105.080891  1528.739       0.000     0.000   -23.334   -59.880
0340320352   39.827306 -105.249841  1847.040       0.000     0.000     3.445    -1.488
0340320354   40.789620 -105.186563  1854.644       0.000     0.000   -35.095     9.827
0340320356   40.176794 -104.986845  1474.932       0.000     0.000     5.851   -41.252
0340320357   40.225375 -105.127882  1540.529       0.000     0.000    10.304   -31.428
0340320360   40.706502 -105.081209  1573.000       0.000     0.000   -38.226   -78.139
0340320376   40.032311 -105.533992  2884.216       0.000     0.000   -31.067   -31.559
0340320379   40.536214 -104.893256  1487.000       0.000     0.000   259.251   148.519
0340320386   40.137684 -105.209419  1565.783       0.000     0.000    14.968   -36.496
