==============================================================================
==============================================================================
 Apr. 5 2014                  LANDSAT 4                       Time: 22:03
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404017861_00005                          Path / Row - 33 / 32
Reference Image: L41XXX1184198170100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 47.1%
Rank   2 -- 43.3%
Rank   3 --  9.7%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0330323908   39.99690   -105.47327     0.56      0.42     0.70     2 
0330323909   39.99704   -105.43742     0.05     -0.22     0.23     1 
0330323913   39.99749   -105.29404     0.27      0.16     0.31     1 
0330323915   39.99765   -105.22235     0.09      0.10     0.13     1 
0330323916   39.99771   -105.18650     0.17      0.26     0.31     1 
0330323983   39.97203   -105.47310     0.13      0.17     0.22     1 
0330323988   39.97262   -105.29393     0.35      0.25     0.43     1 
0330324058   39.94716   -105.47293     0.36      0.06     0.36     1 
0330324059   39.94730   -105.43711     0.27     -0.18     0.32     1 
0330324062   39.94766   -105.32965     0.06      0.10     0.12     1 
0330324063   39.94776   -105.29383     0.29      0.05     0.30     1 
0330324075   39.94805   -104.86397     0.06     -0.05     0.08     1 
0330324102   39.94288   -103.89690    -0.91      0.23     0.93     2 
0330324134   39.92244   -105.43695     0.31     -0.17     0.35     1 
0330324137   39.92279   -105.32953    -0.04      0.04     0.06     1 
0330324138   39.92289   -105.29372     0.17      0.14     0.22     1 
0330324177   39.91802   -103.89730    -0.81     -0.05     0.81     2 
0330324209   39.89757   -105.43679     0.45     -0.10     0.46     1 
0330324210   39.89770   -105.40100     0.04     -0.28     0.28     1 
0330324211   39.89782   -105.36520     0.18     -0.44     0.47     1 
0330324212   39.89793   -105.32941     0.14     -0.20     0.24     1 
0330324213   39.89802   -105.29361     0.24     -0.19     0.30     1 
0330324283   39.87256   -105.47241     0.14     -0.11     0.18     1 
0330324284   39.87270   -105.43663     0.34     -0.11     0.36     1 
0330324285   39.87283   -105.40085     0.20     -0.48     0.52     2 
0330324290   39.87331   -105.22194     0.16     -0.15     0.22     1 
0330324293   39.87347   -105.11460    -0.60     -0.44     0.74     2 
0330324304   39.87319   -104.72099    -0.06     -0.22     0.23     1 
0330324359   39.84784   -105.43648     0.52     -0.18     0.55     2 
0330324360   39.84797   -105.40071     0.30     -0.27     0.41     1 
0330324369   39.84863   -105.07879     0.17      0.02     0.17     1 
0330324373   39.84864   -104.93571     0.24     -0.17     0.30     1 
0330324399   39.84440   -104.00577    -0.56     -0.28     0.62     2 
0330324400   39.84409   -103.97001    -0.82     -0.24     0.85     2 
0330324401   39.84376   -103.93425    -0.65     -0.22     0.69     2 
0330324434   39.82297   -105.43632     0.30     -0.14     0.34     1 
0330324435   39.82310   -105.40056     0.37     -0.48     0.60     2 
0330324437   39.82332   -105.32905     0.16     -0.54     0.56     2 
0330324439   39.82350   -105.25754     0.14     -0.11     0.18     1 
0330324440   39.82358   -105.22178    -0.10     -0.12     0.16     1 
0330324445   39.82378   -105.04300     0.17      0.05     0.17     1 
0330324450   39.82371   -104.86422    -0.02     -0.26     0.27     1 
0330324520   39.79892   -105.04299     0.16      0.07     0.17     1 
0330324535   39.79787   -104.50684    -0.49     -0.57     0.76     2 
0330324583   39.77310   -105.47173    -0.14     -0.02     0.14     1 
0330324591   39.77391   -105.18589     0.03      0.21     0.21     1 
0330324592   39.77396   -105.15016     0.08      0.04     0.09     1 
0330324593   39.77400   -105.11443    -0.02     -0.19     0.19     1 
0330324595   39.77405   -105.04297     0.18     -0.18     0.26     1 
0330324659   39.74837   -105.43585    -0.11     -0.29     0.31     1 
0330324660   39.74850   -105.40013    -0.04     -0.52     0.52     2 
0330324661   39.74862   -105.36441     0.19     -0.39     0.43     1 
0330324662   39.74872   -105.32870     0.28     -0.42     0.50     2 
0330324664   39.74890   -105.25726     0.74     -0.11     0.74     2 
0330324667   39.74909   -105.15011     0.07     -0.04     0.08     1 
0330324670   39.74918   -105.04296     0.25     -0.01     0.25     1 
0330324673   39.74917   -104.93580     0.03     -0.36     0.36     1 
0330324701   39.74431   -103.93578    -0.51     -0.88     1.01     3 
0330324731   39.72305   -105.54280     0.33     -0.21     0.39     1 
0330324736   39.72375   -105.36428     0.01     -0.36     0.36     1 
0330324737   39.72385   -105.32858     0.05     -0.33     0.34     1 
0330324738   39.72395   -105.29287     0.14     -0.11     0.18     1 
0330324739   39.72403   -105.25717     0.42     -0.02     0.42     1 
0330324775   39.71977   -103.97186     0.74     -0.61     0.96     2 
0330324813   39.69908   -105.29277     0.38     -0.33     0.51     2 
0330324814   39.69917   -105.25708     0.35     -0.13     0.37     1 
0330324815   39.69924   -105.22138     0.72     -0.46     0.85     2 
0330324818   39.69939   -105.11431     0.20     -0.21     0.29     1 
0330324975   39.64963   -104.86456    -0.18     -0.99     1.00     3 
0330324976   39.64959   -104.82889    -0.09     -0.94     0.95     2 
0330324977   39.64953   -104.79323    -0.29     -1.06     1.10     3 
0330325151   39.59512   -103.93807    -0.49     -1.08     1.19     3 
0330325220   39.57201   -104.15218     0.08     -0.06     0.10     1 
0330325226   39.57026   -103.93845    -0.42     -1.06     1.14     3 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 60

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.525
  Median: 0.658
  Standard Deviation: 0.448

Sample residual statistics:
  Mean: -0.119
  Median: -0.065
  Standard Deviation: 0.324

Quadrant RMSE: 0.771

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 65

