==============================================================================
==============================================================================
Fri. Feb. 12 2016                  LANDSAT 2                       Time: 13:09
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602120001_14199                          Path / Row - 36 / 32
Reference Image: L21XXX1175190170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 54.1%
Rank   2 -- 42.0%
Rank   3 --  3.9%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321312   40.73948   -105.06846     0.35      0.18     0.39     1 
0360321313   40.73950   -105.02937     0.11      0.16     0.19     1 
0360321314   40.73950   -104.99029     0.03      0.12     0.12     1 
0360321327   40.73834   -104.48220    -0.06     -0.38     0.39     1 
0360321335   40.73651   -104.16955    -0.12     -0.03     0.12     1 
0360321336   40.73623   -104.13047     0.43      0.04     0.43     1 
0360321365   40.70929   -105.92790     0.34     -0.22     0.40     1 
0360321367   40.70989   -105.84977     0.49     -0.02     0.49     1 
0360321377   40.71210   -105.45912     0.45      0.25     0.51     2 
0360321378   40.71225   -105.42005     0.45      0.17     0.48     1 
0360321379   40.71239   -105.38098     0.61      0.03     0.61     2 
0360321380   40.71251   -105.34191     0.50     -0.00     0.50     2 
0360321381   40.71262   -105.30284     0.23      0.34     0.41     1 
0360321382   40.71272   -105.26378     0.32      0.09     0.34     1 
0360321383   40.71280   -105.22471     0.37     -0.07     0.38     1 
0360321384   40.71287   -105.18564     0.84     -0.24     0.87     2 
0360321385   40.71292   -105.14657     0.26     -0.05     0.27     1 
0360321387   40.71300   -105.06843     0.48      0.36     0.60     2 
0360321388   40.71301   -105.02936     0.09      0.12     0.15     1 
0360321438   40.68215   -106.00562     0.36      0.19     0.41     1 
0360321439   40.68248   -105.96658     0.99      0.30     1.03     3 
0360321440   40.68281   -105.92753     0.03      0.19     0.19     1 
0360321446   40.68445   -105.69324     0.50      0.02     0.50     1 
0360321451   40.68546   -105.49799     0.39      0.50     0.64     2 
0360321452   40.68562   -105.45893     0.28      0.32     0.43     1 
0360321453   40.68577   -105.41988     0.29      0.17     0.34     1 
0360321454   40.68590   -105.38083     0.35      0.35     0.49     1 
0360321455   40.68603   -105.34178     0.51      0.24     0.57     2 
0360321456   40.68613   -105.30272     0.28      0.29     0.40     1 
0360321457   40.68623   -105.26367     0.42      0.09     0.43     1 
0360321458   40.68631   -105.22462     0.60     -0.07     0.60     2 
0360321461   40.68648   -105.10746     0.43     -0.07     0.43     1 
0360321462   40.68651   -105.06840     0.41     -0.03     0.41     1 
0360321463   40.68653   -105.02935     0.50      0.34     0.61     2 
0360321513   40.65567   -106.00522     0.36      0.19     0.41     1 
0360321515   40.65632   -105.92716     0.82      0.42     0.92     2 
0360321526   40.65897   -105.49779     0.84     -0.07     0.85     2 
0360321529   40.65942   -105.38068     0.62      0.26     0.67     2 
0360321530   40.65954   -105.34164     0.64      0.40     0.75     2 
0360321531   40.65965   -105.30260     0.70      0.06     0.70     2 
0360321532   40.65975   -105.26357     0.86      0.08     0.86     2 
0360321533   40.65983   -105.22453     0.71      0.07     0.71     2 
0360321535   40.65995   -105.14645     0.35      0.18     0.39     1 
0360321536   40.66000   -105.10742     0.37     -0.24     0.44     1 
0360321537   40.66002   -105.06838     0.38     -0.12     0.40     1 
0360321538   40.66004   -105.02934     1.01      0.43     1.10     3 
0360321546   40.65970   -104.71703     0.24      0.05     0.25     1 
0360321549   40.65935   -104.59992     0.42     -0.22     0.48     1 
0360321587   40.62884   -106.04384     0.79     -0.24     0.82     2 
0360321588   40.62919   -106.00483     0.41     -0.06     0.42     1 
0360321589   40.62952   -105.96581     0.80      0.55     0.97     2 
0360321590   40.62984   -105.92680     0.82      0.31     0.88     2 
0360321601   40.63249   -105.49759     0.84      0.07     0.84     2 
0360321604   40.63293   -105.38053     0.97      0.26     1.01     3 
0360321605   40.63305   -105.34151     0.85      0.44     0.95     2 
0360321606   40.63316   -105.30249     1.03      0.07     1.04     3 
0360321607   40.63326   -105.26346     0.89     -0.04     0.89     2 
0360321608   40.63334   -105.22444     0.69      0.30     0.75     2 
0360321615   40.63355   -104.95128     0.53     -0.30     0.61     2 
0360321662   40.60236   -106.04343     0.56     -0.12     0.57     2 
0360321664   40.60304   -105.96543     0.31      0.53     0.62     2 
0360321675   40.60583   -105.53640     0.88      0.27     0.92     2 
0360321676   40.60600   -105.49740     0.70      0.38     0.80     2 
0360321677   40.60616   -105.45839     0.93      0.36     1.00     2 
0360321678   40.60631   -105.41939     1.03      0.13     1.03     3 
0360321680   40.60657   -105.34137     0.86      0.30     0.91     2 
0360321681   40.60668   -105.30237     0.90     -0.03     0.90     2 
0360321682   40.60677   -105.26336     1.05     -0.04     1.05     3 
0360321683   40.60686   -105.22435     0.68      0.29     0.74     2 
0360321692   40.60700   -104.87328    -0.01      0.05     0.05     1 
0360321737   40.57588   -106.04302     0.55     -0.09     0.56     2 
0360321739   40.57656   -105.96505     0.17      0.32     0.36     1 
0360321750   40.57934   -105.53619     0.92      0.26     0.96     2 
0360321753   40.57983   -105.41922     0.98      0.40     1.06     3 
0360321754   40.57996   -105.38023     0.94      0.34     1.00     3 
0360321755   40.58008   -105.34124     0.88      0.26     0.92     2 
0360321756   40.58019   -105.30225     0.91      0.17     0.93     2 
0360321757   40.58029   -105.26326     1.03     -0.01     1.03     3 
0360321758   40.58037   -105.22426     0.76      0.27     0.81     2 
0360321812   40.54940   -106.04261     0.39      0.00     0.39     1 
0360321813   40.54974   -106.00364     0.34      0.06     0.34     1 
0360321814   40.55007   -105.96467     0.23      0.26     0.34     1 
0360321815   40.55039   -105.92570     0.04      0.66     0.67     2 
0360321816   40.55070   -105.88673    -0.18      0.52     0.55     2 
0360321817   40.55099   -105.84776     0.22      0.44     0.49     1 
0360321818   40.55127   -105.80879     0.27      0.26     0.38     1 
0360321820   40.55179   -105.73085     0.21     -0.15     0.26     1 
0360321825   40.55286   -105.53598     0.53      0.53     0.75     2 
0360321828   40.55334   -105.41905     0.96      0.44     1.06     3 
0360321829   40.55348   -105.38008     0.83      0.42     0.93     2 
0360321830   40.55360   -105.34110     0.92      0.13     0.93     2 
0360321831   40.55371   -105.30213     0.96      0.24     0.99     2 
0360321833   40.55388   -105.22418     0.94      0.50     1.07     3 
0360321892   40.52451   -105.84743     0.31      0.40     0.50     2 
0360321893   40.52479   -105.80847     0.13      0.39     0.41     1 
0360321898   40.52598   -105.61369    -0.23      0.59     0.63     2 
0360321901   40.52655   -105.49681     0.87      0.51     1.01     3 
0360321903   40.52686   -105.41889     0.98      0.24     1.01     3 
0360321904   40.52699   -105.37993     0.77      0.42     0.88     2 
0360321905   40.52711   -105.34097     0.65      0.61     0.89     2 
0360321906   40.52722   -105.30201     0.80      0.43     0.91     2 
0360321907   40.52732   -105.26305     0.89      0.42     0.98     2 
0360321908   40.52740   -105.22409     0.91      0.43     1.01     3 
0360321909   40.52747   -105.18512     0.99      0.01     0.99     2 
0360321968   40.49830   -105.80815    -0.48      0.41     0.63     2 
0360321970   40.49882   -105.73027     0.59      0.69     0.91     2 
0360321971   40.49906   -105.69133     0.76      0.04     0.76     2 
0360321978   40.50037   -105.41872     0.77      0.41     0.87     2 
0360321979   40.50050   -105.37978     0.76      0.39     0.85     2 
0360321980   40.50063   -105.34083     0.84      0.53     0.99     2 
0360321981   40.50073   -105.30189     0.88      0.33     0.94     2 
0360321982   40.50083   -105.26294     0.94      0.46     1.04     3 
0360322005   40.49940   -104.36720     0.81     -0.05     0.81     2 
0360322006   40.49918   -104.32826     0.77      0.18     0.79     2 
0360322043   40.47182   -105.80783    -0.43      0.66     0.78     2 
0360322044   40.47208   -105.76891     0.25      0.23     0.34     1 
0360322052   40.47374   -105.45749     0.74      0.33     0.81     2 
0360322053   40.47388   -105.41856     0.71      0.50     0.87     2 
0360322055   40.47414   -105.34070     0.74      0.57     0.94     2 
0360322070   40.47439   -104.75674     0.75      0.07     0.75     2 
0360322118   40.44534   -105.80752    -0.27      0.76     0.81     2 
0360322119   40.44560   -105.76861    -0.24      0.42     0.48     1 
0360322124   40.44673   -105.57405     0.56      0.75     0.94     2 
0360322127   40.44725   -105.45731     0.59      0.58     0.83     2 
0360322128   40.44740   -105.41840     0.64      0.54     0.84     2 
0360322129   40.44753   -105.37948     0.62      0.56     0.84     2 
0360322130   40.44765   -105.34057     0.77      0.34     0.84     2 
0360322131   40.44776   -105.30165     0.89      0.39     0.97     2 
0360322132   40.44786   -105.26274     0.70      0.52     0.87     2 
0360322135   40.44806   -105.14599     0.83      0.23     0.86     2 
0360322137   40.44814   -105.06816     0.61      0.47     0.77     2 
0360322184   40.41588   -106.15723    -0.07     -0.63     0.63     2 
0360322193   40.41885   -105.80720    -0.30      0.53     0.61     2 
0360322197   40.41983   -105.65162     0.32      0.78     0.85     2 
0360322198   40.42005   -105.61272     0.66      0.48     0.82     2 
0360322201   40.42060   -105.49603     0.74      0.48     0.88     2 
